Year,Port_Country,Total_Air_Routes,Total_Flights,Service_Region
2020,Japan,3,2226,NE Asia
2020,Malaysia,2,2993,SE Asia
2020,Mauritius,1,58,Africa
2020,Nauru,1,108,Islands
2020,New Caledonia,1,456,Islands
2020,New Zealand,5,12476,S America
2020,Papua New Guinea,1,1356,Islands
2020,Peru,1,2,S America
2020,Philippines,1,761,SE Asia
2020,Qatar,1,2685,Middle East
2020,Singapore,1,7637,SE Asia
2020,Solomon Is.,2,224,Islands
2020,South Africa,1,310,Africa
2020,South Korea,1,610,NE Asia
2020,Sri Lanka,1,285,S Asia
2020,Taiwan,1,830,NE Asia
2020,Thailand,2,1302,SE Asia
2020,Tonga,1,48,Islands
2020,United Arab Emirates,2,3665,Middle East
2020,United Kingdom,1,759,Europe
2020,United States of America,6,4141,N America
2020,Vanuatu,2,370,Islands
2020,Vietnam,3,639,SE Asia
2020,Western Samoa,1,134,Islands
2021,Brunei,1,131,SE Asia
2021,Canada,1,27,N America
2021,Chile,1,7,S America
2021,China,4,593,NE Asia
2021,Fiji,1,516,Islands
2021,Hong Kong (SAR),1,1755,NE Asia
2021,India,1,139,S Asia
2021,Indonesia,4,267,SE Asia
2021,Japan,1,809,NE Asia
2021,Malaysia,1,262,SE Asia
2021,Nauru,1,63,Islands
2021,New Caledonia,1,158,Islands
2021,New Zealand,4,5106,S America
2021,Papua New Guinea,1,756,Islands
2021,Philippines,1,159,SE Asia
2021,Qatar,1,2109,Middle East
2021,Singapore,1,6819,SE Asia
2021,Solomon Is.,1,95,Islands
2021,South Korea,1,157,NE Asia
2021,Sri Lanka,1,470,S Asia
2021,Taiwan,1,147,NE Asia
2021,Thailand,2,225,SE Asia
2021,United Arab Emirates,2,2211,Middle East
2021,United Kingdom,1,230,Europe
2021,United States of America,3,2490,N America
2021,Vanuatu,1,53,Islands
2021,Vietnam,4,118,SE Asia
2021,Western Samoa,1,2,Islands
2022,Brunei,1,213,SE Asia
2022,Canada,1,843,N America
2022,Chile,1,211,S America
